+-----------+-------+
|    CID    | Value |
| 537033614 |  403  |
| 537046919 |  402  |
| 537039277 |  402  |
| 537039788 |  402  |
| 537048000 |  402  |
| 537039995 |  402  |
| 537048310 |  402  |
| 537040188 |  402  |
| 537040533 |  402  |
| 537049338 |  402  |
| 537036373 |  401  |
| 537036771 |  401  |
| 537045577 |  401  |
| 537037719 |  401  |
| 537039604 |  401  |
| 537031922 |  401  |
| 537048903 |  401  |
| 537050080 |  401  |
| 537045418 |  400  |
| 537046391 |  400  |
| 537048949 |  400  |
| 537042182 |  400  |
| 537050727 |  400  |
| 537038804 |  399  |
| 537039353 |  399  |
| 537037209 |  398  |
| 537046792 |  398  |
| 537039716 |  398  |
| 537033440 |  398  |
| 537046067 |  397  |
| 537047221 |  397  |
| 537045159 |  397  |
| 537039993 |  397  |
| 537033441 |  396  |
| 537045994 |  396  |
| 537046055 |  396  |
| 537046575 |  396  |
| 537049094 |  396  |
| 537042885 |  396  |
| 537042357 |  395  |
| 537035658 |  394  |
| 537045928 |  394  |
| 537048633 |  394  |
| 537040377 |  394  |
| 537039686 |  393  |
| 537041969 |  393  |
| 537042494 |  393  |
| 537035188 |  392  |
| 537045585 |  392  |
| 537032420 |  392  |
| 537043125 |  391  |
| 537043719 |  391  |
| 537044138 |  391  |
| 537037117 |  391  |
| 537046217 |  391  |
| 537037278 |  391  |
| 537037294 |  391  |
| 537040255 |  391  |
| 537040628 |  391  |
| 537044114 |  390  |
| 537038570 |  390  |
| 537047772 |  390  |
| 537040305 |  390  |
| 537049570 |  390  |
| 537042401 |  390  |
| 537043619 |  389  |
| 537036464 |  389  |
| 537047421 |  389  |
| 537037700 |  389  |
| 537041307 |  389  |
| 537044128 |  388  |
| 537038151 |  388  |
| 537047465 |  388  |
| 537038462 |  388  |
| 537038964 |  388  |
| 537033246 |  388  |
| 537031114 |  387  |
| 537041466 |  387  |
| 537035629 |  386  |
| 537049976 |  386  |
| 537044623 |  386  |
| 537040835 |  386  |
| 537048784 |  386  |
| 537034097 |  386  |
| 537049817 |  385  |
| 537035403 |  385  |
| 537045578 |  385  |
| 537050876 |  385  |
| 537049641 |  385  |
| 537033636 |  385  |
| 537050382 |  385  |
| 537043131 |  384  |
| 537032565 |  384  |
| 537039023 |  384  |
| 537045423 |  384  |
| 537040695 |  384  |
| 537025568 |  384  |
| 537050546 |  384  |
| 537044960 |  383  |
| 537039210 |  383  |
| 537042096 |  383  |
| 537046338 |  383  |
| 537040340 |  383  |
| 537048755 |  383  |
| 537042844 |  383  |
| 537034636 |  382  |
| 537039193 |  382  |
| 537041099 |  382  |
| 537037416 |  382  |
| 537036798 |  381  |
| 537044655 |  381  |
| 537035955 |  380  |
| 537044565 |  380  |
| 537036861 |  380  |
| 537035990 |  379  |
| 537037221 |  379  |
| 537046003 |  379  |
| 537039379 |  379  |
| 537050052 |  379  |
| 537043716 |  378  |
| 537036444 |  378  |
| 537037705 |  378  |
| 537039154 |  378  |
| 537047478 |  378  |
| 537040167 |  378  |
| 537041587 |  378  |
| 537036351 |  377  |
| 537039276 |  377  |
| 537031248 |  377  |
| 537032161 |  377  |
| 537041766 |  377  |
| 537045080 |  376  |
| 537037125 |  376  |
| 537049204 |  376  |
| 537049235 |  376  |
| 537035857 |  375  |
| 537048700 |  375  |
| 537037470 |  375  |
| 537039252 |  375  |
| 537034210 |  375  |
| 537043113 |  374  |
| 537043270 |  374  |
| 537038116 |  374  |
| 537043943 |  374  |
| 537045680 |  374  |
| 537037516 |  374  |
| 537018129 |  374  |
| 537038565 |  374  |
| 537038926 |  374  |
| 537049587 |  374  |
| 537049932 |  374  |
| 537044460 |  373  |
| 537044555 |  373  |
| 537037051 |  373  |
| 537040298 |  373  |
| 537038014 |  373  |
| 537046446 |  373  |
| 537031252 |  373  |
| 537030573 |  372  |
| 537048444 |  372  |
| 537048686 |  372  |
| 537048722 |  372  |
| 537040729 |  372  |
| 537049722 |  372  |
| 537042778 |  372  |
| 537035344 |  371  |
| 537035676 |  371  |
| 537038078 |  371  |
| 537046373 |  371  |
| 537040038 |  371  |
| 537032416 |  371  |
| 537049933 |  371  |
| 537043041 |  370  |
| 537038019 |  370  |
| 537038364 |  370  |
| 537039880 |  370  |
| 537048137 |  370  |
| 537050537 |  370  |
| 537034635 |  369  |
| 537036314 |  369  |
| 537037592 |  369  |
| 537039943 |  369  |
| 537038854 |  369  |
| 537030841 |  369  |
| 537047768 |  369  |
| 537040016 |  369  |
| 537040229 |  369  |
| 537032397 |  369  |
| 537042117 |  369  |
| 537037310 |  368  |
| 537037668 |  368  |
| 537038433 |  368  |
| 537030249 |  368  |
| 537047796 |  368  |
| 537040492 |  368  |
| 537039849 |  368  |
| 537042582 |  368  |
| 537030665 |  367  |
| 537049491 |  367  |
| 537048577 |  367  |
| 537040862 |  367  |
| 537031777 |  367  |
| 537050088 |  367  |
| 537035691 |  366  |
| 537045323 |  366  |
